COUNTRY,Total_sale
Australia,1211
Australia,1210
Spain,1210
Finland,1209
USA,1208
France,1207
USA,1206
Switzerland,1205
USA,1201
Spain,1199
USA,1195
USA,1193
Norway,1190
Spain,1189
France,1185
Australia,1173
USA,1172
Spain,1164
Italy,1163
France,1161
USA,1152
Denmark,1146
USA,1142
USA,1140
USA,1139
USA,1135
USA,1134
USA,1122
USA,1114
Italy,1113
USA,1110
USA,1108
Singapore,1107
USA,1105
Spain,1105
USA,1094
Austria,1092
Australia,1089
USA,1085
Spain,1082
USA,1067
France,1058
USA,1057
Ireland,1056
USA,1046
Australia,1036
Singapore,1033
Singapore,1030
France,1030
Finland,1014
USA,1013
Australia,1012
USA,996
Spain,991
USA,988
USA,981
France,978
Italy,977
USA,975
USA,974
USA,972
USA,972
Spain,965
Germany,949
France,935
USA,931
Spain,925
USA,918
Spain,914
USA,905
Australia,903
Finland,891
USA,876
USA,865
Singapore,859
USA,857
USA,847
France,845
USA,835
France,828
Spain,820
USA,813
Singapore,786
Spain,777
Australia,759
France,733
Spain,728
France,721
USA,717
France,704
France,695
Spain,684
Australia,652
USA,652
Austria,640
Italy,578
USA,541
France,482
