CITY,Total_sale
"San Rafael",2396
Oulu,2394
"New Haven",2390
Newark,2390
Singapore,2385
Singapore,2381
Nantes,2380
Nashua,2365
"San Jose",2363
"North Sydney",2356
Helsinki,2353
Nantes,2353
Brickhaven,2353
Boston,2353
Singapore,2351
Paris,2351
Glendale,2350
Madrid,2349
"Las Vegas",2349
Madrid,2345
Strasbourg,2342
"Glen Waverly",2341
Aaarhus,2340
NYC,2338
Aaarhus,2337
"San Rafael",2335
NYC,2333
Singapore,2329
Nashua,2329
Aaarhus,2327
NYC,2326
"Las Vegas",2326
"San Rafael",2324
"San Jose",2322
Allentown,2321
Marseille,2317
Cambridge,2316
Glendale,2316
Madrid,2315
Madrid,2314
Lyon,2314
Nantes,2312
Bridgewater,2311
Madrid,2310
Barcelona,2307
Toulouse,2302
NYC,2299
"North Sydney",2298
"North Sydney",2297
NYC,2297
Boston,2294
Munich,2293
Chatswood,2289
Madrid,2282
"North Sydney",2282
Burlingame,2282
Paris,2281
"San Diego",2280
"San Rafael",2280
"Glen Waverly",2279
Marseille,2276
NYC,2275
Madrid,2274
"North Sydney",2270
Madrid,2267
"San Rafael",2266
"North Sydney",2264
Cambridge,2263
"Las Vegas",2263
Madrid,2260
Nashua,2258
Madrid,2258
Allentown,2258
Sevilla,2256
"New Bedford",2255
Madrid,2255
Paris,2254
Nashua,2251
Nantes,2249
"San Rafael",2246
NYC,2246
"San Jose",2245
Singapore,2245
Madrid,2244
Stavern,2243
Frankfurt,2242
NYC,2241
Singapore,2241
"White Plains",2235
Dublin,2234
Chatswood,2234
Versailles,2233
Madrid,2232
Paris,2230
Nantes,2228
"New Bedford",2226
"White Plains",2225
Lille,2221
Graz,2219
Madrid,2218
"San Rafael",2217
NYC,2215
Allentown,2213
Madrid,2213
Glendale,2213
"San Rafael",2212
Melbourne,2209
Singapore,2208
Madrid,2207
Madrid,2205
Singapore,2204
"San Rafael",2204
Marseille,2203
Madrid,2202
Salzburg,2202
"San Rafael",2200
"South Brisbane",2194
Helsinki,2194
Cambridge,2193
"San Rafael",2191
Chatswood,2190
Burlingame,2187
Madrid,2185
Cambridge,2184
Singapore,2184
"San Rafael",2183
Madrid,2182
Helsinki,2182
"New Bedford",2181
Paris,2174
"San Jose",2174
Barcelona,2172
Brickhaven,2172
Koln,2171
Toulouse,2170
Reims,2168
Bridgewater,2167
Koln,2164
Madrid,2160
"San Rafael",2154
Nantes,2154
"New Bedford",2152
"San Rafael",2152
NYC,2150
Madrid,2150
Singapore,2148
"San Rafael",2147
Aaarhus,2145
"Las Vegas",2144
Lyon,2143
Nashua,2142
Brickhaven,2142
Marseille,2142
Torino,2137
Lyon,2136
"North Sydney",2131
"San Rafael",2131
Bergamo,2122
"New Bedford",2116
Toulouse,2116
Strasbourg,2115
Chatswood,2113
Bergamo,2112
Barcelona,2110
Singapore,2104
"Reggio Emilia",2101
Helsinki,2101
NYC,2100
Dublin,2096
Melbourne,2095
Strasbourg,2094
"Las Vegas",2094
"San Rafael",2091
NYC,2087
Torino,2085
Melbourne,2083
Burbank,2083
Melbourne,2082
Nantes,2082
Chatswood,2078
Madrid,2076
Sevilla,2071
NYC,2071
Dublin,2070
Marseille,2063
Kobenhavn,2063
Brickhaven,2057
Dublin,2056
NYC,2056
NYC,2055
NYC,2054
Madrid,2052
"White Plains",2051
Nantes,2046
Marseille,2043
Kobenhavn,2039
Kobenhavn,2034
Philadelphia,2034
Newark,2031
"San Rafael",2031
"New Bedford",2028
Paris,2028
Barcelona,2025
Reims,2023
Munich,2023
Kobenhavn,2023
Madrid,2019
Salzburg,2019
Newark,2018
Aaarhus,2014
Singapore,2012
Stavern,2011
Philadelphia,2011
Strasbourg,2010
Madrid,2009
Glendale,2008
"San Rafael",2008
Brickhaven,2005
Philadelphia,2001
Bridgewater,1998
Lille,1992
"San Rafael",1992
Toulouse,1988
"San Jose",1987
Newark,1980
Brickhaven,1979
Madrid,1972
Philadelphia,1972
Burlingame,1972
Lyon,1968
Salzburg,1968
Lille,1965
NYC,1964
Madrid,1962
Madrid,1962
Salzburg,1961
Lyon,1960
Oulu,1959
Boston,1959
Frankfurt,1956
Bridgewater,1952
Bergamo,1948
"San Diego",1943
Madrid,1942
NYC,1940
Koln,1939
Stavern,1939
"San Rafael",1934
Brisbane,1932
Toulouse,1930
NYC,1927
Torino,1922
"Reggio Emilia",1921
Lille,1919
"White Plains",1918
"New Bedford",1917
Salzburg,1917
Madrid,1911
Reims,1909
Oulu,1908
"Glen Waverly",1906
Nashua,1903
Reims,1902
Barcelona,1900
Helsinki,1900
Melbourne,1897
Nantes,1896
Glendale,1892
Oulu,1892
"New Bedford",1889
Paris,1888
Philadelphia,1884
Nantes,1884
"San Rafael",1880
Salzburg,1879
Brickhaven,1875
"New Bedford",1874
"San Jose",1869
"San Rafael",1865
Sevilla,1863
Munich,1863
Madrid,1863
Madrid,1861
Madrid,1860
NYC,1858
"Reggio Emilia",1857
Paris,1853
"New Bedford",1853
"New Bedford",1852
Madrid,1845
Cambridge,1844
Lyon,1836
"San Rafael",1834
Madrid,1834
Koln,1833
"White Plains",1831
"San Rafael",1828
"San Rafael",1827
Madrid,1824
Philadelphia,1823
Frankfurt,1822
"New Bedford",1822
Burbank,1820
Brisbane,1811
Bridgewater,1808
Madrid,1808
"White Plains",1804
"New Bedford",1804
Singapore,1802
Chatswood,1801
"San Rafael",1800
Reims,1796
Versailles,1795
Nantes,1791
Madrid,1789
Lyon,1788
"San Rafael",1788
"San Rafael",1786
Glendale,1780
Madrid,1780
Munich,1778
Newark,1774
"White Plains",1771
Madrid,1767
Philadelphia,1766
Bergamo,1766
Madrid,1765
Madrid,1758
NYC,1755
Singapore,1753
Aaarhus,1753
"San Rafael",1750
"New Bedford",1748
Melbourne,1747
Paris,1747
Brisbane,1747
Cambridge,1742
Madrid,1742
"San Rafael",1742
Marseille,1741
Paris,1738
Brickhaven,1736
"North Sydney",1735
Versailles,1734
Singapore,1734
"San Rafael",1732
Paris,1732
Singapore,1729
NYC,1729
Marseille,1726
"San Rafael",1725
Nantes,1725
"San Rafael",1718
Melbourne,1716
Glendale,1716
"Las Vegas",1714
Madrid,1711
Allentown,1711
Marseille,1707
"North Sydney",1707
Madrid,1706
Madrid,1704
"Las Vegas",1703
Madrid,1702
Burlingame,1701
NYC,1699
Munich,1697
Melbourne,1696
Lille,1695
"North Sydney",1694
Strasbourg,1691
Nashua,1689
Singapore,1688
Philadelphia,1687
Frankfurt,1685
"San Rafael",1685
Nantes,1682
Strasbourg,1681
"South Brisbane",1681
Versailles,1676
Madrid,1675
Allentown,1674
Munich,1672
Helsinki,1671
Helsinki,1670
Melbourne,1668
"North Sydney",1668
Nantes,1668
"San Rafael",1667
Madrid,1667
"San Rafael",1667
Dublin,1666
Brickhaven,1662
Brickhaven,1661
Stavern,1659
Bergamo,1658
Madrid,1658
Torino,1657
Marseille,1649
"New Bedford",1646
Pasadena,1646
NYC,1643
Madrid,1640
Bridgewater,1639
Paris,1638
"South Brisbane",1633
Bergamo,1631
Madrid,1630
Helsinki,1628
Oulu,1624
Reims,1623
Boston,1622
Oulu,1611
Reims,1611
Madrid,1611
Lille,1605
Madrid,1597
Paris,1593
"Reggio Emilia",1592
Madrid,1587
"San Rafael",1585
"Las Vegas",1585
Bergamo,1585
Philadelphia,1577
"San Rafael",1576
Melbourne,1576
Madrid,1575
Torino,1574
Madrid,1570
"San Rafael",1570
Bergamo,1566
Chatswood,1562
Paris,1560
Versailles,1559
Madrid,1559
"San Diego",1558
Torino,1557
Madrid,1557
NYC,1554
Nantes,1551
Koln,1550
Lille,1546
"North Sydney",1546
Aaarhus,1541
Salzburg,1540
Gensve,1538
Marseille,1537
NYC,1535
"North Sydney",1535
Madrid,1535
"Las Vegas",1529
Paris,1528
Cambridge,1518
NYC,1518
Madrid,1518
"Las Vegas",1517
Toulouse,1515
Madrid,1514
Cambridge,1511
Madrid,1508
NYC,1507
"North Sydney",1506
Bergamo,1504
Lyon,1504
Kobenhavn,1501
Singapore,1499
Brisbane,1497
Munich,1496
Bergamo,1495
Burlingame,1490
Pasadena,1490
NYC,1489
Barcelona,1487
Brickhaven,1486
Kobenhavn,1484
Reims,1483
"Reggio Emilia",1483
"San Jose",1480
Singapore,1477
Madrid,1476
Madrid,1476
Stavern,1475
NYC,1467
"San Rafael",1464
Pasadena,1463
Toulouse,1463
Salzburg,1460
Bergamo,1460
Dublin,1458
Melbourne,1455
Bridgewater,1454
Chatswood,1451
Madrid,1450
Aaarhus,1448
"North Sydney",1448
"San Rafael",1437
Gensve,1427
"Glen Waverly",1424
Chatswood,1424
Lyon,1424
Burbank,1423
Kobenhavn,1420
"San Diego",1416
"San Rafael",1409
"Reggio Emilia",1408
Frankfurt,1404
Madrid,1394
Madrid,1387
"White Plains",1385
Marseille,1384
Koln,1383
Torino,1381
Madrid,1376
"Reggio Emilia",1374
Reims,1367
NYC,1367
Madrid,1364
Gensve,1359
"San Rafael",1358
NYC,1358
Cambridge,1356
Madrid,1355
"Reggio Emilia",1352
"Reggio Emilia",1351
Madrid,1350
Salzburg,1349
Stavern,1346
Graz,1346
Brickhaven,1341
Singapore,1340
Madrid,1340
Paris,1338
NYC,1337
Sevilla,1336
Madrid,1331
Chatswood,1330
Chatswood,1330
"San Rafael",1329
"Las Vegas",1328
"San Rafael",1328
Madrid,1322
Melbourne,1321
Singapore,1311
Reims,1308
NYC,1296
Reims,1295
Allentown,1294
Singapore,1283
Philadelphia,1282
Pasadena,1268
Madrid,1266
"San Diego",1265
Graz,1263
Munich,1259
Burlingame,1255
"Glen Waverly",1255
NYC,1249
Boston,1247
"New Bedford",1246
"San Rafael",1245
"Glen Waverly",1244
Melbourne,1238
Brickhaven,1238
NYC,1237
"New Bedford",1230
Lyon,1227
Aaarhus,1227
"San Rafael",1225
Nashua,1225
Brickhaven,1225
NYC,1214
Chatswood,1211
Chatswood,1210
Barcelona,1210
Oulu,1209
Boston,1208
Marseille,1207
"Las Vegas",1206
Gensve,1205
NYC,1201
Madrid,1199
Brisbane,1195
Bridgewater,1193
Stavern,1190
Madrid,1189
Lyon,1185
"South Brisbane",1173
NYC,1172
Madrid,1164
Bergamo,1163
Lyon,1161
"San Rafael",1152
Kobenhavn,1146
Burlingame,1142
Philadelphia,1140
"San Rafael",1139
Newark,1135
"New Bedford",1134
"San Jose",1122
Burbank,1114
Bergamo,1113
Pasadena,1110
NYC,1108
Singapore,1107
"San Rafael",1105
Madrid,1105
"San Rafael",1094
Salzburg,1092
Chatswood,1089
"San Rafael",1085
Madrid,1082
Brickhaven,1067
Lille,1058
"San Jose",1057
Dublin,1056
NYC,1046
"North Sydney",1036
Singapore,1033
Singapore,1030
Nantes,1030
Helsinki,1014
Brisbane,1013
"Glen Waverly",1012
"Las Vegas",996
Madrid,991
Brickhaven,988
Cambridge,981
Reims,978
Bergamo,977
Boston,975
Philadelphia,974
"New Bedford",972
"San Rafael",972
Sevilla,965
Munich,949
Nantes,935
Philadelphia,931
Madrid,925
Nashua,918
Madrid,914
"White Plains",905
"Glen Waverly",903
Oulu,891
Glendale,876
"San Rafael",865
Singapore,859
Pasadena,857
Brisbane,847
Strasbourg,845
Pasadena,835
Paris,828
Madrid,820
Allentown,813
Singapore,786
Madrid,777
"Glen Waverly",759
Nantes,733
Madrid,728
Paris,721
"San Rafael",717
Marseille,704
Versailles,695
Madrid,684
Chatswood,652
Boston,652
Salzburg,640
Torino,578
"San Jose",541
Nantes,482
